Time,Species Name,Population,Habitat Area (km²),Migration,Reproduction Rate,Predation Risk,Environmental Threat,Season,Region,Forest Type,Urbanization,Extinction Risk
2019-09-08,Yến núi,9106,230,Có,2.46,Cao,8,Xuân,Đồi núi,Nhiệt đới,2,Không có nguy cơ
2019-09-08,Cú mèo,46840,336,Không,2.94,Thấp,4,Đông,Đồi núi,Rừng ngập mặn,15,Nguy cơ thấp
2019-09-08,Công,19569,91,Có,1.32,Trung bình,7,Xuân,Đồi núi,Rừng ngập mặn,92,Nguy cơ thấp
2019-09-08,Cắt nhỏ bụng vàng,36665,341,Có,1.62,Cao,9,Hạ,Trung du,Nhiệt đới,85,Không có nguy cơ
2019-09-08,Cu Gáy,160109,46,Một phần,2.72,Trung bình,6,Hạ,Đồng bằng,Ôn đới,91,Nguy cơ cao
2019-09-08,Chào mào,133776,302,Một phần,3.86,Thấp,1,Xuân,Trung du,Ôn đới,23,Nguy cơ cao
2019-09-08,Chích chòe,116429,27,Có,1.22,Cao,8,Xuân,Đồng bằng,Rừng ngập mặn,78,Nguy cơ trung bình
2019-09-15,Yến núi,9096,449,Một phần,1.01,Trung bình,9,Thu,Trung du,Rừng ngập mặn,45,Nguy cơ trung bình
2019-09-15,Cu Gáy,160230,386,Một phần,3.65,Thấp,6,Hạ,Đồi núi,Nhiệt đới,7,Nguy cơ cao
2019-09-15,Cắt nhỏ bụng vàng,36628,37,Không,1.64,Thấp,6,Thu,Trung du,Nhiệt đới,93,Không có nguy cơ
2019-09-15,Cú mèo,46805,196,Không,2.2,Cao,3,Xuân,Đồng bằng,Ôn đới,43,Nguy cơ cao
2019-09-15,Chích chòe,116633,369,Có,3.13,Thấp,8,Xuân,Đồng bằng,Ôn đới,58,Nguy cơ thấp
2019-09-15,Công,19564,387,Một phần,1.92,Trung bình,10,Đông,Đồi núi,Rừng ngập mặn,55,Nguy cơ thấp
2019-09-15,Chào mào,133944,184,Một phần,3.84,Thấp,9,Hạ,Trung du,Rừng ngập mặn,76,Nguy cơ cao
2019-09-22,Cắt nhỏ bụng vàng,36592,16,Một phần,3.6,Thấp,8,Đông,Đồi núi,Ôn đới,59,Nguy cơ thấp
2019-09-22,Cú mèo,46770,357,Không,2.52,Thấp,3,Đông,Đồng bằng,Rừng ngập mặn,87,Không có nguy cơ
2019-09-22,Cu Gáy,160350,449,Có,1.2,Thấp,8,Hạ,Đồi núi,Ôn đới,21,Nguy cơ cao
2019-09-22,Chào mào,134111,131,Có,1.61,Thấp,9,Hạ,Đồng bằng,Ôn đới,41,Nguy cơ cao
2019-09-22,Yến núi,9087,371,Có,3.89,Trung bình,1,Đông,Đồi núi,Nhiệt đới,91,Nguy cơ trung bình
2019-09-22,Chích chòe,116837,128,Không,1.34,Thấp,4,Thu,Đồi núi,Nhiệt đới,85,Nguy cơ thấp
2019-09-22,Công,19559,490,Không,4.49,Thấp,4,Xuân,Đồng bằng,Rừng ngập mặn,51,Nguy cơ trung bình
2019-09-29,Yến núi,9077,43,Có,1.39,Trung bình,5,Hạ,Đồng bằng,Rừng ngập mặn,80,Không có nguy cơ
2019-09-29,Công,19554,466,Một phần,3.32,Thấp,3,Đông,Trung du,Rừng ngập mặn,37,Không có nguy cơ
2019-09-29,Chích chòe,117041,15,Không,3.98,Cao,10,Hạ,Trung du,Nhiệt đới,100,Nguy cơ trung bình
2019-09-29,Cắt nhỏ bụng vàng,36555,51,Có,4.29,Cao,10,Đông,Trung du,Ôn đới,56,Nguy cơ cao
2019-09-29,Cu Gáy,160470,276,Có,3.37,Cao,5,Xuân,Đồng bằng,Ôn đới,58,Nguy cơ cao
2019-09-29,Cú mèo,46735,89,Không,4.33,Thấp,8,Hạ,Đồi núi,Rừng ngập mặn,75,Nguy cơ trung bình
2019-09-29,Chào mào,134279,319,Có,2.6,Trung bình,6,Xuân,Đồng bằng,Ôn đới,57,Nguy cơ cao
2019-10-06,Cu Gáy,160590,394,Không,1.09,Trung bình,6,Thu,Đồi núi,Rừng ngập mặn,71,Nguy cơ cao
2019-10-06,Yến núi,9067,396,Không,4.74,Cao,5,Hạ,Đồi núi,Ôn đới,24,Nguy cơ trung bình
2019-10-06,Chích chòe,117246,422,Không,2.88,Cao,10,Đông,Đồi núi,Ôn đới,34,Nguy cơ thấp
2019-10-06,Cú mèo,46700,21,Có,4.6,Trung bình,9,Thu,Đồng bằng,Nhiệt đới,1,Nguy cơ thấp
2019-10-06,Chào mào,134447,116,Có,3.28,Trung bình,3,Thu,Trung du,Rừng ngập mặn,83,Nguy cơ cao
2019-10-06,Cắt nhỏ bụng vàng,36519,138,Một phần,1.42,Thấp,1,Đông,Đồi núi,Rừng ngập mặn,38,Không có nguy cơ
2019-10-06,Công,19550,285,Không,4.63,Thấp,4,Đông,Đồi núi,Rừng ngập mặn,70,Nguy cơ cao
2019-10-13,Chào mào,134615,389,Một phần,3.03,Thấp,7,Thu,Đồng bằng,Ôn đới,38,Nguy cơ cao
2019-10-13,Công,19545,400,Không,1.62,Thấp,7,Đông,Đồi núi,Ôn đới,15,Nguy cơ cao
2019-10-13,Cắt nhỏ bụng vàng,36482,123,Có,3.65,Trung bình,6,Thu,Đồng bằng,Rừng ngập mặn,40,Nguy cơ cao
2019-10-13,Chích chòe,117451,376,Có,1.07,Thấp,3,Đông,Đồng bằng,Nhiệt đới,4,Nguy cơ trung bình
2019-10-13,Cú mèo,46665,347,Một phần,1.69,Trung bình,9,Thu,Trung du,Ôn đới,42,Không có nguy cơ
2019-10-13,Yến núi,9057,460,Không,3.98,Thấp,1,Xuân,Đồi núi,Ôn đới,29,Không có nguy cơ
2019-10-13,Cu Gáy,160711,154,Một phần,4.07,Trung bình,3,Đông,Trung du,Ôn đới,85,Nguy cơ cao
2019-10-20,Yến núi,9048,104,Có,1.92,Thấp,7,Xuân,Đồi núi,Nhiệt đới,21,Không có nguy cơ
2019-10-20,Cắt nhỏ bụng vàng,36446,169,Có,2.62,Thấp,8,Xuân,Đồng bằng,Nhiệt đới,59,Không có nguy cơ
2019-10-20,Công,19540,226,Có,3.36,Trung bình,4,Đông,Trung du,Nhiệt đới,0,Không có nguy cơ
2019-10-20,Cú mèo,46630,233,Không,3.13,Thấp,8,Thu,Đồng bằng,Ôn đới,22,Nguy cơ thấp
2019-10-20,Cu Gáy,160831,393,Một phần,3.85,Thấp,9,Thu,Trung du,Rừng ngập mặn,71,Nguy cơ cao
2019-10-20,Chào mào,134783,210,Có,3.11,Cao,7,Xuân,Đồi núi,Ôn đới,79,Nguy cơ cao
2019-10-20,Chích chòe,117657,330,Một phần,2.09,Trung bình,9,Thu,Đồi núi,Nhiệt đới,20,Nguy cơ thấp
2019-10-27,Cu Gáy,160952,284,Một phần,1.22,Thấp,10,Xuân,Đồng bằng,Nhiệt đới,63,Nguy cơ cao
2019-10-27,Công,19535,153,Không,4.43,Cao,3,Đông,Đồi núi,Ôn đới,18,Nguy cơ trung bình
2019-10-27,Cú mèo,46595,477,Có,1.13,Trung bình,5,Hạ,Đồi núi,Ôn đới,74,Nguy cơ trung bình
2019-10-27,Cắt nhỏ bụng vàng,36409,447,Không,1.94,Trung bình,3,Đông,Trung du,Rừng ngập mặn,79,Nguy cơ thấp
2019-10-27,Yến núi,9038,479,Có,4.64,Thấp,10,Thu,Đồng bằng,Rừng ngập mặn,12,Không có nguy cơ
2019-10-27,Chào mào,134951,60,Một phần,3.54,Cao,2,Hạ,Đồi núi,Nhiệt đới,53,Nguy cơ cao
2019-10-27,Chích chòe,117863,319,Có,4.65,Cao,2,Thu,Đồi núi,Nhiệt đới,65,Nguy cơ thấp
2019-11-03,Cú mèo,46560,147,Một phần,4.27,Trung bình,2,Đông,Đồi núi,Nhiệt đới,32,Không có nguy cơ
2019-11-03,Cu Gáy,161073,323,Một phần,4.24,Cao,1,Đông,Đồng bằng,Nhiệt đới,50,Nguy cơ cao
2019-11-03,Yến núi,9028,474,Không,3.09,Trung bình,1,Xuân,Đồng bằng,Ôn đới,45,Nguy cơ trung bình
2019-11-03,Cắt nhỏ bụng vàng,36373,324,Một phần,4.21,Thấp,2,Thu,Đồi núi,Rừng ngập mặn,53,Không có nguy cơ
2019-11-03,Chào mào,135120,278,Không,1.75,Cao,1,Đông,Đồi núi,Nhiệt đới,49,Nguy cơ cao
2019-11-03,Chích chòe,118069,50,Không,1.97,Trung bình,1,Đông,Đồi núi,Ôn đới,20,Nguy cơ thấp
2019-11-03,Công,19530,179,Một phần,4.94,Thấp,8,Thu,Trung du,Nhiệt đới,35,Nguy cơ thấp
2019-11-10,Cú mèo,46525,492,Không,4.48,Cao,8,Xuân,Đồng bằng,Nhiệt đới,31,Không có nguy cơ
2019-11-10,Chào mào,135289,285,Có,2.65,Thấp,4,Thu,Đồi núi,Ôn đới,34,Nguy cơ cao
2019-11-10,Cu Gáy,161193,42,Có,1.58,Thấp,6,Xuân,Trung du,Ôn đới,51,Nguy cơ cao
2019-11-10,Công,19525,285,Không,3.07,Cao,1,Hạ,Trung du,Rừng ngập mặn,15,Nguy cơ cao
2019-11-10,Cắt nhỏ bụng vàng,36336,245,Có,2.07,Trung bình,2,Hạ,Đồi núi,Ôn đới,55,Không có nguy cơ
2019-11-10,Yến núi,9018,403,Không,1.88,Trung bình,10,Xuân,Trung du,Rừng ngập mặn,41,Nguy cơ trung bình
2019-11-10,Chích chòe,118276,367,Có,3.85,Cao,10,Đông,Đồng bằng,Ôn đới,30,Nguy cơ trung bình
2019-11-17,Cắt nhỏ bụng vàng,36300,63,Có,1.7,Thấp,5,Hạ,Trung du,Rừng ngập mặn,48,Nguy cơ trung bình
2019-11-17,Chào mào,135458,69,Có,3.25,Thấp,9,Đông,Đồi núi,Ôn đới,44,Nguy cơ cao
2019-11-17,Chích chòe,118483,103,Không,2.26,Trung bình,5,Đông,Đồng bằng,Rừng ngập mặn,14,Nguy cơ trung bình
2019-11-17,Cu Gáy,161314,229,Không,3.74,Trung bình,5,Đông,Đồng bằng,Rừng ngập mặn,49,Nguy cơ cao
2019-11-17,Công,19520,236,Không,1.13,Trung bình,5,Thu,Đồi núi,Ôn đới,91,Nguy cơ cao
2019-11-17,Yến núi,9009,299,Một phần,3.97,Cao,7,Hạ,Trung du,Ôn đới,5,Nguy cơ trung bình
2019-11-17,Cú mèo,46490,171,Không,4.1,Trung bình,1,Thu,Đồi núi,Rừng ngập mặn,71,Nguy cơ cao
2019-11-24,Chích chòe,118690,325,Một phần,3.29,Cao,9,Đông,Trung du,Rừng ngập mặn,77,Nguy cơ trung bình
2019-11-24,Công,19515,229,Không,4.71,Thấp,6,Xuân,Trung du,Nhiệt đới,1,Nguy cơ trung bình
2019-11-24,Cu Gáy,161435,28,Có,1.81,Trung bình,5,Thu,Đồi núi,Ôn đới,42,Nguy cơ cao
2019-11-24,Cú mèo,46455,255,Một phần,2.34,Cao,10,Xuân,Đồi núi,Ôn đới,38,Không có nguy cơ
2019-11-24,Cắt nhỏ bụng vàng,36264,412,Không,3.3,Trung bình,10,Thu,Đồng bằng,Ôn đới,12,Không có nguy cơ
2019-11-24,Chào mào,135627,312,Không,4.07,Thấp,2,Xuân,Trung du,Rừng ngập mặn,56,Nguy cơ cao
2019-11-24,Yến núi,8999,326,Không,2.39,Cao,7,Xuân,Đồi núi,Nhiệt đới,69,Không có nguy cơ
2019-12-01,Cắt nhỏ bụng vàng,36227,271,Không,1.12,Thấp,1,Thu,Trung du,Ôn đới,37,Nguy cơ thấp
2019-12-01,Chích chòe,118898,179,Một phần,2.77,Trung bình,1,Xuân,Đồi núi,Nhiệt đới,69,Nguy cơ thấp
2019-12-01,Cu Gáy,161556,343,Một phần,4.52,Thấp,3,Xuân,Đồi núi,Rừng ngập mặn,84,Nguy cơ cao
2019-12-01,Chào mào,135797,446,Không,2.16,Cao,10,Hạ,Trung du,Nhiệt đới,55,Nguy cơ cao
2019-12-01,Công,19511,113,Không,3.7,Trung bình,7,Đông,Đồng bằng,Ôn đới,44,Không có nguy cơ
2019-12-01,Yến núi,8989,486,Một phần,3.99,Thấp,7,Hạ,Đồng bằng,Rừng ngập mặn,11,Không có nguy cơ
2019-12-01,Cú mèo,46420,66,Một phần,3.15,Trung bình,1,Hạ,Đồng bằng,Ôn đới,66,Nguy cơ cao
2019-12-08,Yến núi,8980,325,Có,4.59,Thấp,4,Xuân,Đồng bằng,Nhiệt đới,56,Không có nguy cơ
2019-12-08,Chào mào,135967,299,Một phần,3.75,Cao,1,Xuân,Đồi núi,Rừng ngập mặn,100,Nguy cơ cao
2019-12-08,Cắt nhỏ bụng vàng,36191,260,Một phần,4.69,Trung bình,2,Hạ,Đồi núi,Rừng ngập mặn,89,Nguy cơ cao
2019-12-08,Cu Gáy,161678,493,Một phần,3.12,Trung bình,7,Hạ,Đồi núi,Rừng ngập mặn,71,Nguy cơ cao
2019-12-08,Cú mèo,46385,122,Có,2.48,Cao,8,Xuân,Trung du,Nhiệt đới,22,Không có nguy cơ
2019-12-08,Công,19506,398,Không,2.9,Thấp,3,Đông,Đồng bằng,Nhiệt đới,67,Nguy cơ trung bình
2019-12-08,Chích chòe,119106,495,Có,4.73,Trung bình,4,Thu,Đồi núi,Rừng ngập mặn,24,Nguy cơ trung bình
2019-12-15,Yến núi,8970,410,Có,4.96,Thấp,7,Xuân,Đồi núi,Ôn đới,6,Không có nguy cơ
2019-12-15,Chào mào,136137,317,Không,4.22,Cao,7,Đông,Đồi núi,Rừng ngập mặn,6,Nguy cơ cao
2019-12-15,Cú mèo,46351,298,Không,2.97,Trung bình,4,Xuân,Đồi núi,Ôn đới,20,Nguy cơ cao
2019-12-15,Cắt nhỏ bụng vàng,36155,461,Không,4.04,Thấp,6,Hạ,Đồi núi,Ôn đới,9,Nguy cơ trung bình
2019-12-15,Cu Gáy,161799,169,Một phần,4.06,Trung bình,8,Đông,Trung du,Rừng ngập mặn,24,Nguy cơ cao
2019-12-15,Chích chòe,119314,18,Không,4.94,Cao,3,Thu,Đồng bằng,Ôn đới,45,Nguy cơ trung bình
2019-12-15,Công,19501,126,Không,4.76,Cao,4,Hạ,Trung du,Rừng ngập mặn,81,Nguy cơ cao
2019-12-22,Chào mào,136307,356,Có,1.62,Trung bình,8,Xuân,Đồng bằng,Ôn đới,100,Nguy cơ cao
2019-12-22,Chích chòe,119523,146,Có,3.02,Thấp,9,Thu,Đồi núi,Ôn đới,78,Nguy cơ trung bình
2019-12-22,Cắt nhỏ bụng vàng,36119,41,Không,2.64,Cao,5,Đông,Trung du,Rừng ngập mặn,79,Nguy cơ cao
2019-12-22,Cú mèo,46316,222,Không,1.6,Trung bình,9,Xuân,Trung du,Ôn đới,55,Nguy cơ cao
2019-12-22,Yến núi,8960,95,Một phần,3.46,Trung bình,9,Hạ,Đồng bằng,Rừng ngập mặn,48,Nguy cơ trung bình
2019-12-22,Cu Gáy,161920,281,Một phần,2.49,Cao,8,Thu,Đồng bằng,Rừng ngập mặn,15,Nguy cơ cao
2019-12-22,Công,19496,345,Không,4.67,Trung bình,8,Thu,Trung du,Ôn đới,13,Nguy cơ trung bình
2019-12-29,Chích chòe,119732,236,Một phần,1.87,Thấp,8,Xuân,Đồng bằng,Nhiệt đới,36,Nguy cơ trung bình
2019-12-29,Công,19491,312,Có,4.81,Cao,3,Hạ,Đồi núi,Ôn đới,99,Nguy cơ thấp
2019-12-29,Cú mèo,46281,184,Một phần,1.01,Thấp,8,Đông,Trung du,Rừng ngập mặn,74,Nguy cơ thấp
2019-12-29,Cu Gáy,162042,91,Không,4.23,Trung bình,7,Hạ,Trung du,Rừng ngập mặn,70,Nguy cơ cao
2019-12-29,Yến núi,8951,90,Một phần,1.37,Cao,6,Hạ,Đồi núi,Ôn đới,60,Không có nguy cơ
2019-12-29,Chào mào,136477,494,Có,3.53,Cao,3,Hạ,Đồi núi,Nhiệt đới,17,Nguy cơ cao
2019-12-29,Cắt nhỏ bụng vàng,36083,379,Không,1.34,Thấp,9,Hạ,Trung du,Nhiệt đới,23,Nguy cơ trung bình
2020-01-05,Cắt nhỏ bụng vàng,32481,43,Có,1.45,Thấp,4,Thu,Đồng bằng,Rừng ngập mặn,2,Không có nguy cơ
2020-01-05,Chào mào,143930,255,Không,3.97,Thấp,3,Thu,Trung du,Ôn đới,94,Nguy cơ cao
2020-01-05,Cu Gáy,170810,187,Không,4.9,Cao,7,Xuân,Trung du,Ôn đới,63,Nguy cơ trung bình
2020-01-05,Công,18023,380,Có,4.16,Cao,6,Hạ,Trung du,Ôn đới,28,Nguy cơ thấp
2020-01-05,Chích chòe,126331,163,Một phần,1.37,Cao,10,Đông,Đồi núi,Ôn đới,90,Nguy cơ trung bình
2020-01-05,Yến núi,10130,221,Có,2.48,Trung bình,4,Xuân,Đồng bằng,Rừng ngập mặn,23,Nguy cơ trung bình
2020-01-05,Cú mèo,42772,128,Không,3.48,Trung bình,3,Hạ,Trung du,Ôn đới,52,Không có nguy cơ
2020-01-12,Cắt nhỏ bụng vàng,32416,22,Một phần,1.09,Thấp,7,Thu,Đồi núi,Ôn đới,75,Không có nguy cơ
2020-01-12,Công,18005,287,Có,1.82,Trung bình,2,Đông,Trung du,Nhiệt đới,26,Nguy cơ thấp
2020-01-12,Cú mèo,42708,22,Một phần,1.44,Trung bình,5,Xuân,Đồi núi,Nhiệt đới,77,Nguy cơ trung bình
2020-01-12,Cu Gáy,171023,328,Một phần,2.62,Thấp,4,Thu,Đồi núi,Rừng ngập mặn,82,Nguy cơ trung bình
2020-01-12,Yến núi,10132,82,Một phần,4.88,Trung bình,7,Đông,Đồng bằng,Ôn đới,16,Không có nguy cơ
2020-01-12,Chích chòe,126615,369,Một phần,1.84,Cao,4,Thu,Trung du,Nhiệt đới,59,Nguy cơ trung bình
2020-01-12,Chào mào,144182,355,Không,2.97,Thấp,6,Xuân,Đồng bằng,Nhiệt đới,91,Nguy cơ cao
2020-01-19,Chào mào,144435,156,Không,3.35,Trung bình,9,Hạ,Trung du,Nhiệt đới,82,Nguy cơ cao
2020-01-19,Chích chòe,126900,457,Một phần,3.2,Cao,5,Đông,Đồi núi,Nhiệt đới,76,Nguy cơ trung bình
2020-01-19,Cú mèo,42644,481,Một phần,4.01,Cao,6,Hạ,Trung du,Rừng ngập mặn,49,Nguy cơ thấp
2020-01-19,Cắt nhỏ bụng vàng,32351,320,Không,2.15,Thấp,8,Hạ,Đồng bằng,Nhiệt đới,60,Nguy cơ trung bình
2020-01-19,Công,17987,206,Không,4.37,Cao,2,Xuân,Đồng bằng,Ôn đới,4,Nguy cơ thấp
2020-01-19,Cu Gáy,171237,448,Không,3.46,Thấp,6,Xuân,Trung du,Nhiệt đới,12,Nguy cơ thấp
2020-01-19,Yến núi,10133,104,Một phần,3.79,Thấp,3,Hạ,Trung du,Nhiệt đới,90,Không có nguy cơ
2020-01-26,Cú mèo,42580,341,Không,2.8,Cao,3,Thu,Trung du,Nhiệt đới,49,Nguy cơ thấp
2020-01-26,Công,17969,240,Một phần,3.91,Thấp,3,Đông,Trung du,Nhiệt đới,80,Không có nguy cơ
2020-01-26,Cu Gáy,171451,497,Có,4.4,Cao,10,Đông,Đồng bằng,Nhiệt đới,50,Nguy cơ trung bình
2020-01-26,Chích chòe,127185,348,Không,4.92,Trung bình,1,Thu,Trung du,Rừng ngập mặn,84,Nguy cơ trung bình
2020-01-26,Chào mào,144687,148,Có,4.81,Thấp,10,Hạ,Đồng bằng,Rừng ngập mặn,44,Nguy cơ cao
2020-01-26,Yến núi,10134,46,Một phần,1.92,Trung bình,1,Hạ,Đồng bằng,Rừng ngập mặn,17,Nguy cơ trung bình
2020-01-26,Cắt nhỏ bụng vàng,32287,355,Có,3.34,Thấp,6,Xuân,Đồi núi,Rừng ngập mặn,86,Nguy cơ thấp
2020-02-02,Công,17951,416,Một phần,2.39,Trung bình,4,Đông,Đồng bằng,Ôn đới,15,Nguy cơ trung bình
2020-02-02,Chích chòe,127472,346,Có,1.2,Trung bình,8,Hạ,Đồng bằng,Nhiệt đới,89,Nguy cơ trung bình
2020-02-02,Cu Gáy,171666,455,Có,3.94,Cao,1,Đông,Đồi núi,Rừng ngập mặn,27,Nguy cơ thấp
2020-02-02,Cắt nhỏ bụng vàng,32222,120,Không,4.72,Trung bình,3,Thu,Trung du,Nhiệt đới,31,Nguy cơ trung bình
2020-02-02,Yến núi,10135,28,Một phần,2.76,Cao,10,Đông,Đồi núi,Ôn đới,63,Không có nguy cơ
2020-02-02,Chào mào,144940,199,Không,3.68,Trung bình,9,Xuân,Trung du,Ôn đới,11,Nguy cơ cao
2020-02-02,Cú mèo,42516,407,Không,3.69,Trung bình,2,Hạ,Trung du,Ôn đới,9,Không có nguy cơ
2020-02-09,Cú mèo,42453,347,Một phần,2.54,Cao,7,Thu,Trung du,Rừng ngập mặn,24,Nguy cơ cao
2020-02-09,Chào mào,145194,71,Có,1.34,Cao,3,Xuân,Đồng bằng,Nhiệt đới,24,Nguy cơ cao
2020-02-09,Cu Gáy,171880,331,Một phần,2.28,Cao,5,Thu,Đồi núi,Ôn đới,75,Nguy cơ thấp
2020-02-09,Yến núi,10137,381,Không,1.32,Thấp,4,Đông,Đồi núi,Ôn đới,100,Không có nguy cơ
2020-02-09,Chích chòe,127758,475,Có,4.5,Cao,7,Đông,Đồng bằng,Rừng ngập mặn,8,Nguy cơ trung bình
2020-02-09,Công,17933,150,Một phần,2.49,Thấp,9,Hạ,Đồi núi,Ôn đới,93,Nguy cơ thấp
2020-02-09,Cắt nhỏ bụng vàng,32157,481,Có,4.17,Thấp,7,Hạ,Đồng bằng,Rừng ngập mặn,66,Nguy cơ cao
2020-02-16,Công,17915,140,Có,1.86,Trung bình,1,Hạ,Đồng bằng,Nhiệt đới,15,Không có nguy cơ
2020-02-16,Cú mèo,42389,365,Không,1.89,Cao,5,Đông,Trung du,Ôn đới,90,Nguy cơ trung bình
2020-02-16,Cu Gáy,172095,297,Có,4.84,Thấp,4,Đông,Đồng bằng,Ôn đới,52,Nguy cơ thấp
2020-02-16,Yến núi,10138,430,Một phần,2.74,Trung bình,8,Hạ,Trung du,Ôn đới,20,Nguy cơ trung bình
2020-02-16,Chích chòe,128046,346,Một phần,3.07,Trung bình,5,Xuân,Đồi núi,Nhiệt đới,78,Nguy cơ trung bình
2020-02-16,Chào mào,145448,302,Một phần,3.2,Cao,5,Đông,Đồng bằng,Ôn đới,76,Nguy cơ cao
2020-02-16,Cắt nhỏ bụng vàng,32093,429,Có,4.63,Cao,3,Hạ,Đồi núi,Nhiệt đới,68,Nguy cơ cao
2020-02-23,Cu Gáy,172310,163,Không,3.82,Cao,6,Xuân,Trung du,Nhiệt đới,27,Nguy cơ trung bình
2020-02-23,Công,17897,419,Có,2.09,Trung bình,3,Hạ,Trung du,Nhiệt đới,78,Nguy cơ cao
2020-02-23,Chích chòe,128334,343,Một phần,2.62,Thấp,4,Xuân,Đồi núi,Nhiệt đới,12,Nguy cơ trung bình
2020-02-23,Cắt nhỏ bụng vàng,32029,420,Có,3.98,Trung bình,6,Xuân,Trung du,Ôn đới,98,Nguy cơ thấp
2020-02-23,Chào mào,145703,476,Không,2.04,Thấp,5,Hạ,Trung du,Rừng ngập mặn,21,Nguy cơ cao
2020-02-23,Yến núi,10139,18,Không,2.96,Thấp,9,Thu,Đồng bằng,Nhiệt đới,25,Không có nguy cơ
2020-02-23,Cú mèo,42325,285,Một phần,4.04,Thấp,1,Thu,Đồng bằng,Nhiệt đới,36,Nguy cơ cao
2020-03-01,Chào mào,145958,252,Có,3.09,Trung bình,7,Đông,Đồng bằng,Nhiệt đới,9,Nguy cơ cao
2020-03-01,Cắt nhỏ bụng vàng,31965,79,Một phần,3.03,Trung bình,5,Hạ,Đồi núi,Rừng ngập mặn,8,Nguy cơ thấp
2020-03-01,Cu Gáy,172525,40,Có,2.22,Trung bình,3,Thu,Trung du,Nhiệt đới,24,Nguy cơ thấp
2020-03-01,Công,17879,336,Không,1.29,Cao,8,Hạ,Đồi núi,Rừng ngập mặn,47,Nguy cơ cao
2020-03-01,Yến núi,10140,344,Một phần,1.09,Cao,7,Thu,Đồi núi,Rừng ngập mặn,16,Nguy cơ trung bình
2020-03-01,Cú mèo,42262,131,Một phần,2.11,Trung bình,8,Đông,Trung du,Rừng ngập mặn,96,Nguy cơ thấp
2020-03-01,Chích chòe,128623,208,Không,1.21,Trung bình,4,Xuân,Đồi núi,Ôn đới,48,Nguy cơ trung bình
2020-03-08,Cú mèo,42198,84,Một phần,4.12,Thấp,7,Xuân,Trung du,Nhiệt đới,7,Nguy cơ trung bình
2020-03-08,Yến núi,10142,472,Có,4.71,Cao,2,Thu,Trung du,Nhiệt đới,6,Không có nguy cơ
2020-03-08,Cắt nhỏ bụng vàng,31901,333,Một phần,1.38,Trung bình,5,Xuân,Đồng bằng,Rừng ngập mặn,20,Không có nguy cơ
2020-03-08,Cu Gáy,172741,303,Không,4.11,Trung bình,9,Đông,Trung du,Rừng ngập mặn,73,Nguy cơ thấp
2020-03-08,Chích chòe,128912,257,Có,3.08,Trung bình,8,Hạ,Đồi núi,Nhiệt đới,40,Nguy cơ trung bình
2020-03-08,Công,17862,338,Không,3.13,Thấp,3,Đông,Đồng bằng,Ôn đới,43,Nguy cơ cao
2020-03-08,Chào mào,146213,264,Không,4.73,Cao,3,Xuân,Trung du,Ôn đới,58,Nguy cơ cao
2020-03-15,Công,17844,16,Một phần,1.04,Thấp,10,Thu,Đồi núi,Rừng ngập mặn,94,Nguy cơ thấp
2020-03-15,Chích chòe,129202,373,Không,3.76,Trung bình,1,Hạ,Đồi núi,Nhiệt đới,22,Nguy cơ trung bình
2020-03-15,Cắt nhỏ bụng vàng,31837,342,Một phần,3.84,Trung bình,6,Xuân,Đồi núi,Ôn đới,20,Không có nguy cơ
2020-03-15,Chào mào,146469,225,Có,2.08,Trung bình,7,Xuân,Trung du,Nhiệt đới,13,Nguy cơ cao
2020-03-15,Cú mèo,42135,32,Một phần,4.98,Thấp,1,Xuân,Đồng bằng,Ôn đới,14,Không có nguy cơ
2020-03-15,Cu Gáy,172957,385,Có,1.13,Cao,4,Đông,Trung du,Ôn đới,0,Nguy cơ thấp
2020-03-15,Yến núi,10143,111,Có,1.23,Thấp,8,Hạ,Đồi núi,Ôn đới,47,Nguy cơ trung bình
2020-03-22,Công,17826,98,Có,4.77,Thấp,4,Đông,Đồi núi,Nhiệt đới,85,Không có nguy cơ
2020-03-22,Chích chòe,129493,76,Một phần,4.92,Trung bình,5,Đông,Trung du,Ôn đới,79,Nguy cơ trung bình
2020-03-22,Chào mào,146725,316,Không,3.47,Thấp,9,Đông,Trung du,Nhiệt đới,45,Nguy cơ cao
2020-03-22,Cu Gáy,173173,405,Không,3.69,Thấp,9,Đông,Trung du,Ôn đới,64,Nguy cơ trung bình
2020-03-22,Cắt nhỏ bụng vàng,31774,466,Một phần,4.38,Cao,10,Hạ,Đồi núi,Ôn đới,31,Không có nguy cơ
2020-03-22,Yến núi,10144,92,Không,1.99,Trung bình,8,Xuân,Trung du,Nhiệt đới,86,Không có nguy cơ
2020-03-22,Cú mèo,42072,399,Không,1.88,Cao,10,Hạ,Đồi núi,Ôn đới,72,Nguy cơ thấp
2020-03-29,Yến núi,10146,366,Có,2.49,Thấp,9,Thu,Trung du,Rừng ngập mặn,98,Nguy cơ trung bình
2020-03-29,Cú mèo,42009,431,Có,4.27,Cao,9,Thu,Đồi núi,Rừng ngập mặn,71,Không có nguy cơ
2020-03-29,Công,17808,93,Có,3.85,Trung bình,8,Thu,Đồng bằng,Ôn đới,39,Nguy cơ cao
2020-03-29,Cắt nhỏ bụng vàng,31710,495,Có,1.44,Cao,3,Xuân,Đồng bằng,Nhiệt đới,31,Nguy cơ trung bình
